fid,orig_fid,OBJECTID,DAMAGE_ARE,CREATED_DA,MODIFIED_D,FEATURE_US,OBSERVATIO,REGION_ID,LABEL,HOST_CODE,HOST,HOST_GROUP,HOST_GRO_1,DCA_CODE,DCA_COMMON,DAMAGE_TYP,DAMAGE_T_1,PERCENT_AF,PERCENT__1,PERCENT_MI,PERCENT_MA,PERCENT__2,NOTES,OBSERVAT_1,COLLECTION,SNAPGRID_R,SNAPGRID_C,AREA_TYPE,ACRES,STATUS,SURVEY_YEA,LEGACY_SEV,LEGACY_S_1,LEGACY_PAT,LEGACY_P_1,LEGACY_TPA,LEGACY_NO_,LEGACY_FOR,LEGACY_F_1,GRP,OBSERVAT_2,IDS_DATA_S,DATA_SOURC,US_AREA,SHAPE_Leng,SHAPE_Area,tmean,tmax,tmin,tdmean,ppt,vpdmin,vpdmax
5177,5177,127982,20042016134,,,,,2,,202,Douglas-fir,,,11049,Douglas-fir engraver,2,Mortality,,,,,,,SINGLE,,,,POLYGON,1.9,1,2004,-1,No Data,-1,No data,0.53,1,9000,MIXED CONIFERS,1,939876,87,IDS LEGACY FEATURES,CONUS,314.3311549,7847.648577,5.18900013,11.40800095,-1.029000044,-5.299183369,733.3370361,1.826000094,11.09300041
5178,5178,127989,20052019660,,,,,2,,2,,,,11000,bark beetles,2,Mortality,,,,,,,SINGLE,,,,POLYGON,1.9,1,2005,-1,No Data,-1,No data,0.53,1,9000,MIXED CONIFERS,1,1108108,87,IDS LEGACY FEATURES,CONUS,314.7302847,7870.043535,7.783000469,14.33500099,1.231000066,-4.985449791,504.4630127,2.90500021,14.54600048
5179,5179,127992,20042015951,,,,,2,,19,subalpine fir,,,80002,subalpine fir mortality complex,2,Mortality,,,,,,,SINGLE,,,,POLYGON,221.2,1,2004,-1,No Data,-1,No data,1,221,3000,WESTERN FIR-SPRUCE TYPE GROUP,1,939693,87,IDS LEGACY FEATURES,CONUS,4072.214291,895694.578,0.647000015,7.08700037,-5.791000366,-7.073691368,1007.772034,0.855000019,7.946000576
5180,5180,128071,20082027631,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,0.9,1,2008,-1,No Data,-1,No data,1.11,1,9000,MIXED CONIFERS,1,1581662,87,IDS LEGACY FEATURES,CONUS,219.7293147,3831.891191,5.47300005,12.2300005,-1.281000018,-5.678091526,462.6410217,1.8950001,12.92500019
5181,5181,128074,20062014153,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,1.9,1,2006,-1,No Data,-1,No data,0.53,1,9000,MIXED CONIFERS,1,1254344,87,IDS LEGACY FEATURES,CONUS,314.5932806,7853.077383,6.946000099,13.38200092,0.51000005,-6.250724792,407.0020142,2.601000071,14.15100098
5182,5182,128111,20072040039,,,,,2,,108,lodgepole pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,54.7,1,2007,-1,No Data,-1,No data,0.18,10,9000,MIXED CONIFERS,1,1415444,87,IDS LEGACY FEATURES,CONUS,1829.895174,221611.3173,5.093000412,11.46000099,-1.272000074,-5.362374783,507.4470215,1.779000044,12.31000042
5183,5183,128116,20042016211,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,5,1,2004,-1,No Data,-1,No data,1,5,9000,MIXED CONIFERS,1,939954,87,IDS LEGACY FEATURES,CONUS,502.9145042,20103.68205,5.200000286,11.5710001,-1.170000076,-5.398808002,685.2580566,1.817000031,11.2130003
5184,5184,128168,20072047714,,,,,2,,19,subalpine fir,,,80002,subalpine fir mortality complex,2,Mortality,,,,,,,SINGLE,,,,POLYGON,79.4,1,2007,-1,No Data,-1,No data,5,397,3000,WESTERN FIR-SPRUCE TYPE GROUP,1,1423292,87,IDS LEGACY FEATURES,CONUS,2148.269079,321608.363,3.70600009,10.09700012,-2.684000015,-5.835183144,592.2720337,1.369000077,11.22900009
5185,5185,128185,20072048336,,,,,2,,19,subalpine fir,,,80002,subalpine fir mortality complex,2,Mortality,,,,,,,SINGLE,,,,POLYGON,41.8,1,2007,-1,No Data,-1,No data,10,418,3000,WESTERN FIR-SPRUCE TYPE GROUP,1,1423979,87,IDS LEGACY FEATURES,CONUS,1723.832449,169203.4827,1.195000052,7.138000488,-4.74600029,-6.369733334,902.94104,0.891000032,8.25
5186,5186,128199,20082026568,,,,,2,,108,lodgepole pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,1128.1,1,2008,-1,No Data,-1,No data,2,2256,9000,MIXED CONIFERS,1,1580469,87,IDS LEGACY FEATURES,CONUS,8717.601914,4567627.734,1.553000093,8.519000053,-5.413000107,-7.028866291,563.3710327,0.936000049,9.829000473
5187,5187,128217,20052018491,,,,,2,,19,subalpine fir,,,80002,subalpine fir mortality complex,2,Mortality,,,,,,,SINGLE,,,,POLYGON,7,1,2005,-1,No Data,-1,No data,1,7,3000,WESTERN FIR-SPRUCE TYPE GROUP,1,1106938,87,IDS LEGACY FEATURES,CONUS,597.2597832,28366.26648,5.022000313,11.74100018,-1.696000099,-5.296808243,425.1960144,1.747000098,12.07400036
5188,5188,128220,20072039120,,,,,2,,19,subalpine fir,,,80002,subalpine fir mortality complex,2,Mortality,,,,,,,SINGLE,,,,POLYGON,16.5,1,2007,-1,No Data,-1,No data,0.3,5,3000,WESTERN FIR-SPRUCE TYPE GROUP,1,1414517,87,IDS LEGACY FEATURES,CONUS,994.0182254,66905.86007,2.49000001,8.961000443,-3.980000257,-5.666733265,764.1220093,0.91200006,9.846000671
5189,5189,128237,20052018852,,,,,2,,19,subalpine fir,,,80002,subalpine fir mortality complex,2,Mortality,,,,,,,SINGLE,,,,POLYGON,48.8,1,2005,-1,No Data,-1,No data,2.05,100,3000,WESTERN FIR-SPRUCE TYPE GROUP,1,1107299,87,IDS LEGACY FEATURES,CONUS,1721.035254,197529.119,0.823000014,7.494000435,-5.846000195,-6.726641655,877.7750244,0.843000054,8.393000603
5190,5190,128238,20052018543,,,,,2,,113,limber pine,,,11006,mountain pine beetle,2,Mortality,,,,,,changed to 11006; host 113 only.  EJ. 01/09/06,SINGLE,,,,POLYGON,1.9,1,2005,-1,No Data,-1,No data,0.53,1,9000,MIXED CONIFERS,1,1106990,87,IDS LEGACY FEATURES,CONUS,314.7142957,7869.448601,4.14800024,10.72600079,-2.430000067,-5.346008301,537.4750366,1.511000037,11.19100094
5191,5191,128283,20072047731,,,,,2,,746,quaking aspen,,,80001,aspen defoliation,1,Defoliation,,,,,,,SINGLE,,,,POLYGON,20.1,1,2007,-1,No Data,-1,No data,-1,-1,910,Aspen,1,1423310,87,IDS LEGACY FEATURES,CONUS,1079.72812,81506.00712,5.597000122,12.052001,-0.85800004,-5.007349968,500.3020325,1.856000066,12.7510004
5192,5192,128300,20042015789,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,1.9,1,2004,-1,No Data,-1,No data,1.58,3,9000,MIXED CONIFERS,1,939530,87,IDS LEGACY FEATURES,CONUS,314.3613208,7848.201353,4.098999977,10.61800003,-2.419000149,-5.048549652,488.1850281,1.27700007,10.49800014
5193,5193,128369,20082027592,,,,,2,,108,lodgepole pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,0.9,1,2008,-1,No Data,-1,No data,11.1,10,9000,MIXED CONIFERS,1,1581623,87,IDS LEGACY FEATURES,CONUS,219.7292518,3831.880773,3.311000109,9.874000549,-3.250000238,-6.635591507,510.7980347,1.457000017,10.86500072
5194,5194,128439,20052019342,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,1.9,1,2005,-1,No Data,-1,No data,1.05,2,9000,MIXED CONIFERS,1,1107789,87,IDS LEGACY FEATURES,CONUS,314.7275977,7869.992046,6.352000237,12.71500015,-0.010000001,-5.669491291,440.0120239,2.396000147,13.32600021
5195,5195,128445,20062013925,,,,,2,,19,subalpine fir,,,80002,subalpine fir mortality complex,2,Mortality,,,,,,,SINGLE,,,,POLYGON,622.5,1,2006,-1,No Data,-1,No data,10,6225,3000,WESTERN FIR-SPRUCE TYPE GROUP,1,1254115,87,IDS LEGACY FEATURES,CONUS,7840.425232,2520802.57,1.538000107,8.702000618,-5.626000404,-6.970108032,1021.367065,1.121000051,9.780000687
5196,5196,128447,20062013449,,,,,2,,19,subalpine fir,,,80002,subalpine fir mortality complex,2,Mortality,,,,,,,SINGLE,,,,POLYGON,46.3,1,2006,-1,No Data,-1,No data,1.08,50,3000,WESTERN FIR-SPRUCE TYPE GROUP,1,1253639,87,IDS LEGACY FEATURES,CONUS,1770.769842,187359.83,2.467000008,9.068000793,-4.133000374,-6.255258083,698.56604,1.28700006,9.793000221
5197,5197,128477,20062013477,,,,,2,,108,lodgepole pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,1.9,1,2006,-1,No Data,-1,No data,0.53,1,9000,MIXED CONIFERS,1,1253667,87,IDS LEGACY FEATURES,CONUS,314.5893944,7851.19739,3.337000132,10.56100082,-3.887000084,-6.123716354,482.0770264,1.235000014,11.37500095
5198,5198,128496,20062014074,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,1.9,1,2006,-1,No Data,-1,No data,1.05,2,9000,MIXED CONIFERS,1,1254265,87,IDS LEGACY FEATURES,CONUS,314.5854962,7851.011772,7.047000408,13.69500065,0.400000006,-6.142133236,419.0270081,2.515000105,14.56200027
5199,5199,128572,20062014422,,,,,2,,122,ponderosa pine,,,11029,pine engraver,2,Mortality,,,,,,,SINGLE,,,,POLYGON,40.9,1,2006,-1,No Data,-1,No data,0.49,20,9000,MIXED CONIFERS,1,1254613,87,IDS LEGACY FEATURES,CONUS,1510.304476,165777.5499,7.687000275,14.21200085,1.163000107,-5.35969162,501.8270264,2.880000114,14.56900024
5200,5200,128596,20082027350,,,,,2,,108,lodgepole pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,42.5,1,2008,-1,No Data,-1,No data,11.76,500,9000,MIXED CONIFERS,1,1581352,87,IDS LEGACY FEATURES,CONUS,1660.074521,171967.5975,1.790000081,7.868000507,-4.287000179,-8.020458221,775.0750122,1.601000071,9.128000259
5201,5201,128603,20082027339,,,,,2,,108,lodgepole pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,76.4,1,2008,-1,No Data,-1,No data,10,764,9000,MIXED CONIFERS,1,1581334,87,IDS LEGACY FEATURES,CONUS,2428.601069,309541.2701,4.082000256,10.37200069,-2.208000183,-7.244541645,546.5910034,1.953000069,11.27700043
5202,5202,128627,20052018499,,,,,2,,19,subalpine fir,,,80002,subalpine fir mortality complex,2,Mortality,,,,,,,SINGLE,,,,POLYGON,1.9,1,2005,-1,No Data,-1,No data,2.11,4,3000,WESTERN FIR-SPRUCE TYPE GROUP,1,1106946,87,IDS LEGACY FEATURES,CONUS,314.7222674,7869.828741,5.022000313,11.74100018,-1.696000099,-5.296808243,425.1960144,1.747000098,12.07400036
5203,5203,128685,20002006096,,,,,2,,122,ponderosa pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,1.9,1,2000,-1,No Data,-1,No data,1.58,3,9000,MIXED CONIFERS,1,257729,87,IDS LEGACY FEATURES,CONUS,314.3945905,7850.268122,8.058000565,14.88500118,1.232000113,-4.099691391,394.1530151,2.333000183,15.32800102
5204,5204,128788,20082028056,,,,,2,,108,lodgepole pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,18.7,1,2008,-1,No Data,-1,No data,53.47,1000,9000,MIXED CONIFERS,1,1582124,87,IDS LEGACY FEATURES,CONUS,1170.738675,75863.09145,1.126000047,7.486000538,-5.233000278,-7.181341648,800.882019,0.980000019,8.889000893
5205,5205,128844,20062014574,,,,,2,,113,limber pine,,,80003,five-needle pine decline,2,Mortality,,,,,,"DCA changed 11006 to 80003, host 113",SINGLE,,,,POLYGON,20.7,1,2006,-1,No Data,-1,No data,0.97,20,9000,MIXED CONIFERS,1,1254765,87,IDS LEGACY FEATURES,CONUS,1107.533466,83807.9123,4.679000378,10.96800041,-1.609000087,-6.729016304,620.7490234,2.022000074,11.40700054
5206,5206,128853,20072047894,,,,,2,,746,quaking aspen,,,80001,aspen defoliation,1,Defoliation,,,,,,,SINGLE,,,,POLYGON,74.6,1,2007,-1,No Data,-1,No data,-1,-1,910,Aspen,1,1423492,87,IDS LEGACY FEATURES,CONUS,2699.955026,302219.6942,2.892000198,9.312000275,-3.527000189,-5.46740818,640.0250244,1.029000044,10.0340004
5207,5207,128862,20082028000,,,,,2,,108,lodgepole pine,,,11006,mountain pine beetle,2,Mortality,,,,,,,SINGLE,,,,POLYGON,21.3,1,2008,-1,No Data,-1,No data,0.46,10,9000,MIXED CONIFERS,1,1582064,87,IDS LEGACY FEATURES,CONUS,1179.17861,86316.91335,4.922000408,11.38900089,-1.54400003,-6.317349911,480.7400208,1.905000091,11.99200058
